nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,crystal_system,a,b,c,alpha,beta,gamma,element_1,element_2,element_3,atomic_num1,atomic_num2,atomic_num3
20,Ag-O-P,264.7268376,4.687932528,13.23634188,-6.533062173,-1.910021699,FALSE,2.3488,3.9281,1.5793,1.51024763,FALSE,FALSE,FALSE,NM,0.0010486,3.96E-06,0.00026215,Monoclinic,4.050258,5.872686,11.96470882,68.46602396,90,90,Ag,O,P,47,8,15
10,Ag-P-S,222.4638175,3.508777848,22.24638175,-11.12451423,-0.2319240933,FALSE,1.3228,3.2895,1.9667,2.02048759,FALSE,FALSE,FALSE,NM,0,0,0,Monoclinic,6.780253846,6.780254284,6.619494314,96.22820341,115.8907391,117.8903189,Ag,P,S,47,15,16
10,Ag-O-Pb,146.4184684,8.235107872,14.64184684,-5.125327082,-0.8428518988,FALSE,0,,,3.24102778,FALSE,TRUE,TRUE,FM,2.0014088,0.01366910077,1.0007044,Trigonal,6.063536039,6.063536039,6.063536146,56.91439183,56.91439183,56.91440088,Ag,O,Pb,47,8,82
40,Ag-Pd-Se,675.8137812,9.948056706,16.89534453,-4.637217001,-0.2615180838,FALSE,0,4.1862,4.2018,4.18950398,FALSE,TRUE,FALSE,NM,0.2051388,0.0003035433809,0.02564235,Cubic,8.775577,8.775577,8.775577,90,90,90,Ag,Pd,Se,47,46,34
20,Ag-O-Pd,267.596322,6.510355757,13.3798161,-4.747613204,-0.1716910728,FALSE,0,,,2.01728997,FALSE,TRUE,FALSE,NM,0.0002408,9.00E-07,6.02E-05,Orthorhombic,6.477634781,6.477634781,6.838195,90,90,111.1526736,Ag,O,Pd,47,8,46
20,Ag-O-Ru,265.5367835,6.427025654,13.27683917,-6.386093229,-0.9912669518,FALSE,0,,,2.42685244,FALSE,TRUE,TRUE,FM,0.4287024,0.001614474629,0.1071756,Cubic,7.214616145,7.214616145,7.214616145,60,60,60,Ag,O,Ru,47,8,44
20,Ag-O-Sb,271.7080679,6.786835394,13.5854034,-5.807639057,-1.44189304,TRUE,0.0946,3.5101,3.4155,3.46847846,FALSE,FALSE,FALSE,NM,0,0,0,Cubic,7.270079791,7.270079791,7.270079791,60,60,60,Ag,O,Sb,47,8,51
10,Ag-O-Sb,137.6369854,6.698918635,13.76369854,-5.790875897,-1.42512988,FALSE,0.1333,3.3171,3.1838,3.27635654,TRUE,FALSE,FALSE,NM,0,0,0,Trigonal,6.365893471,6.365892971,6.365893763,49.61821341,49.61826084,49.61834321,Ag,O,Sb,47,8,51
60,Ag-O-Sb,857.910165,6.44836024,14.29850275,-5.731120558,-1.36537454,FALSE,0,,,3.05120681,FALSE,TRUE,FALSE,NM,0.002211,2.58E-06,0.00018425,Triclinic,8.102397,8.3480744,13.44267748,90.76401145,90.34159842,109.3223431,Ag,O,Sb,47,8,51
30,Ag-O-Sb,430.8249683,6.420372778,14.36083228,-5.747215705,-1.381469688,FALSE,0.2875,3.3587,3.0712,3.10530988,FALSE,FALSE,FALSE,NM,4.99E-05,1.16E-07,8.32E-06,Monoclinic,8.165706637,8.165706637,9.517102341,55.48285219,55.48285219,71.23888223,Ag,O,Sb,47,8,51
20,Ag-I-Se,633.5274141,4.94499633,31.6763707,-3.141949277,-0.1811415847,FALSE,1.3964,2.8507,1.4543,1.5012286,FALSE,FALSE,FALSE,NM,1.20E-06,1.89E-09,3.00E-07,Orthorhombic,5.101597,8.251258,15.05009,90,90,90,Ag,I,Se,47,53,34
10,Ag-O-Sn,134.5949134,6.775067907,13.45949134,-5.689126443,-1.347266303,FALSE,0,,,4.16517874,FALSE,TRUE,FALSE,NM,0.0169321,0.000125800445,0.00846605,Orthorhombic,6.605299848,6.605299848,3.286703,90,90,110.1813222,Ag,O,Sn,47,8,50
20,Ag-I-Te,746.572119,5.494464735,37.32860595,-2.927542263,-0.1782979213,FALSE,1.0025,4.1944,3.1919,3.22944803,FALSE,FALSE,FALSE,NM,0.0001905,2.55E-07,4.76E-05,Orthorhombic,5.147745,8.806155,16.469045,90,90,90,Ag,I,Te,47,53,52
40,Ag-O-Te,574.8261714,6.550947813,14.37065428,-5.291976235,-1.123369287,FALSE,1.6662,5.2422,3.576,3.61476097,FALSE,FALSE,FALSE,NM,0.0030223,5.26E-06,0.0003777875,Monoclinic,11.826693,6.024564,9.221228838,61.03323127,90,90,Ag,O,Te,47,8,52
40,Ag-O-Te,600.036388,6.275713149,15.0009097,-5.312450585,-1.143843637,TRUE,1.4211,4.173,2.7519,2.85824349,FALSE,FALSE,FALSE,NM,0,0,0,Monoclinic,6.92440761,6.518629494,13.29551785,88.99666929,90,90,Ag,O,Te,47,8,52
20,Ag-O-Te,274.1800335,6.867123404,13.70900168,-5.292326426,-1.123719478,FALSE,1.1676,4.9272,3.7596,3.87807129,FALSE,FALSE,FALSE,NM,7.00E-07,2.55E-09,1.75E-07,Monoclinic,5.461745684,6.91813729,7.39980156,90.00000081,89.99999287,101.3021652,Ag,O,Te,47,8,52
10,Al-B-C,120.3606472,2.863195326,12.03606472,-5.52696833,-0.09801137933,TRUE,0.453,8.307,7.854,7.97204476,FALSE,FALSE,FALSE,NM,0,0,0,Hexagonal,3.481176444,3.481176444,11.46837206,90,90,119.9999917,Al,B,C,13,5,6
5,Ag-Al-O,52.77775564,5.75291885,10.55555113,-5.90149902,-1.612438085,FALSE,0,,,3.47888857,FALSE,TRUE,TRUE,FM,1.9999092,0.03789303232,1.9999092,Cubic,3.751028,3.751028,3.751028,90,90,90,Ag,Al,O,47,13,8
20,Ag-Al-O,247.9195772,4.898784497,12.39597886,-6.047576314,-1.758515378,FALSE,0.0622,1.953,1.8908,1.8908272,FALSE,FALSE,FALSE,NM,0.0004288,1.73E-06,0.0001072,Orthorhombic,4.313100198,5.740123171,10.01382801,90.00515801,89.999115,89.96925874,Ag,Al,O,47,13,8
30,Ag-Al-O,343.774771,5.299274482,11.45915903,-5.907362491,-1.618301555,FALSE,0.0481,3.389,3.3409,3.34099027,FALSE,FALSE,FALSE,NM,4.81E-05,1.40E-07,8.02E-06,Hexagonal,6.049468028,6.049468028,10.846984,90,90,120.0000003,Ag,Al,O,47,13,8
20,Ag-Al-O,237.6775573,5.109883301,11.88387787,-6.0240798,-1.735018865,FALSE,0.032,2.2885,2.2565,2.25659612,FALSE,FALSE,FALSE,NM,4.81E-05,2.02E-07,1.20E-05,Orthorhombic,4.727991,5.293314,9.496944,90,90,90,Ag,Al,O,47,13,8
